,0
0,12878.04683
1,22244.87655
2,11045.10884
3,20986.01602
4,17789.34673
5,19448.22633
6,15635.79616
7,14703.13687
8,22311.04951
9,12830.09878
10,11017.16871
11,32501.24519
12,65281.48124
13,13830.24902
14,19641.7419
15,16341.8041
16,13699.03578
17,30731.94165
18,15077.17584
19,42773.02839
20,22525.26972
21,14847.04415
22,33540.53611
23,55639.08765
24,21956.34266
25,18856.01869
26,18566.0707
27,15623.91976
28,19528.10043
29,15457.17059
30,17316.0966
31,8768.998585
32,12684.98623
33,26190.27147
34,13540.04164
35,19682.03501
36,16339.17032
37,29844.204
38,15059.13408
39,19294.7875
40,18063.00491
41,15709.05282
42,48365.9809
43,26841.08084
44,36210.123
45,15724.25217
46,15832.51835
47,15821.94972
48,22926.09037
49,35622.1395
50,12243.06062
51,12981.95203
52,14061.12277
53,24852.49528
54,15047.00274
55,13007.98418
56,34819.29712
57,16116.84392
58,25452.47385
59,35715.76856
60,49248.15897
61,28432.82421
62,19924.15905
63,17663.22495
64,34392.99527
65,23733.40225
66,12146.18803
67,32053.09716
68,12549.89233
69,15554.28313
70,17463.04608
71,23578.16486
72,21200.69021
73,21383.06716
74,11169.91839
75,12408.80615
76,36332.89469
77,17675.83749
78,19567.25929
79,11096.85727
80,35866.58271
81,19105.13012
82,22661.04849
83,23345.32907
84,36077.79612
85,30353.58555
86,30251.01842
87,14175.87908
88,39547.5879
89,14546.88481
90,16993.78033
91,18529.34212
92,30781.51563
93,16853.10785
94,18169.37548
95,44130.61706
96,28502.30611
97,36970.89805
98,15979.01484
99,10921.94537
100,41671.58314
101,17553.75368
102,70755.46672
103,20902.10379
104,22736.83447
105,19338.376
106,32075.98487
107,15253.86857
108,15084.8154
109,13464.80288
110,17214.32508
111,13034.06853
112,26789.83261
113,34297.30535
114,21831.82292
115,16218.84786
116,46732.60603
117,13041.874
118,33381.81915
119,41516.42986
120,11581.90504
121,14198.09246
122,19556.89932
123,25267.36768
124,37510.25357
125,21982.64771
126,33183.3326
127,22100.39317
128,16391.17171
129,11215.01865
130,15589.78048
131,18727.50838
132,10777.05254
133,38824.86909
134,15951.81117
135,16283.95899
136,15977.91108
137,12464.07346
138,16792.67953
139,11115.01364
140,36633.63382
141,16646.7708
142,27425.84391
143,13678.863
144,16267.09489
145,25097.47325
146,23249.84169
147,20109.90412
148,38324.80908
149,15730.04627
150,13160.12456
151,12507.48527
152,13446.21342
153,38297.46254
154,22230.0275
155,43374.05242
156,16988.30306
157,14023.93855
158,19027.86231
159,39092.18992
160,47065.20991
161,25098.62906
162,24173.52588
163,9919.048185
164,16295.21144
165,16723.99388
166,11961.61996
167,26302.07428
168,17801.22953
169,12465.50852
170,32422.76138
171,27370.95811
172,9041.906254
173,16256.23617
174,17119.45757
175,34974.37804
176,9654.060142
177,27548.62961
178,29664.70269
179,26337.8306
180,12274.95758
181,23077.56591
182,21273.06171
183,27714.05025
184,8638.930895
185,31059.18103
186,37288.93674
187,41378.04809
188,11137.04565
189,9506.047937
190,16860.09433
191,11574.17381
192,12828.03098
193,16997.69374
194,18042.22107
195,14220.01322
196,17586.92858
197,14418.16529
198,35651.68002
199,19116.13109
200,10788.97036
201,16752.5144
202,36245.15823
203,21233.91136
204,21460.01395
205,42820.32902
206,39072.39205
207,69133.73172
208,16216.98071
209,21725.01075
210,32038.33956
211,14222.3054
212,15163.16986
213,15622.1211
214,11080.51638
215,18800.0931
216,19471.97485
217,17968.83828
218,14401.90693
219,12897.92954
220,12846.06159
221,12207.87293
222,30646.4377
223,20627.66169
224,15553.20871
225,13161.94283
226,33358.76777
227,16507.07027
228,10921.94537
229,18835.18976
230,31970.54208
231,32197.34047
232,11539.04853
233,30315.16944
234,11391.21372
235,23016.00801
236,51154.04722
237,13019.07114
238,20538.08751
239,17944.85692
240,44300.63996
241,21341.25721
242,19191.98962
243,20099.25684
244,18009.84603
245,21300.01945
246,9220.829677
247,38208.50102
248,12832.46239
249,35165.75937
250,15979.01484
251,29275.20871
252,16508.59069
253,42741.52367
254,21895.75878
255,15174.34661
256,16569.14124
257,20021.19521
258,22104.97357
259,24809.04232
260,11167.861
261,17294.181
262,15788.10478
263,17803.27909
264,23151.54614
265,13135.90503
266,13141.04795
267,15297.83597
268,10872.01393
269,30792.14903
270,36338.75133
271,9928.188175
272,32219.58928
273,13310.05959
274,21230.97799
275,16805.05739
276,11203.14611
277,44205.87588
278,11031.12993
279,40966.60741
280,17772.96968
281,14897.04055
282,10106.01643
283,44084.91421
284,32737.08455
285,20173.90633
286,16353.09652
287,16143.95729
288,30957.08075
289,46747.67327
290,18974.92203
291,32537.18675
292,12810.91058
293,19425.84862
294,16428.57898
295,13594.08559
296,27060.13756
297,17218.68575
298,18145.12649
299,15086.89959
300,22120.75776
301,13994.90646
302,12257.16409
303,21403.75642
304,18254.92277
305,21575.45683
306,30166.85251
307,31181.71516
308,21058.13958
309,11247.86253
310,15503.5088
311,21903.32262
312,68566.18719
313,13471.00508
314,15846.01271
315,15604.14582
316,27666.23108
317,13688.00011
318,12379.12647
319,16860.87078
320,41053.48217
321,29612.15405
322,10144.95208
323,28040.12853
324,15664.6249
325,18324.83193
326,37215.16938
327,26781.81465
328,15594.80684
329,33984.43077
330,28291.76226
331,11555.2674
332,42677.60112
333,17095.03522
334,22189.11597
335,14593.8541
336,16825.19088
337,16391.92657
338,22113.62802
339,26831.19404
340,12209.55962
341,11671.85813
342,15295.01827
343,31186.74146
344,11302.90299
345,14853.19901
346,14963.04562
347,30122.42974
