wine names,fixed acidity,citric acid,residual sugar,chlorides,total sulfur dioxide,density,pH,sulphates,alcohol,quality
Chronic Cellars Sofa King Bueno,5.6,0.04,1.7,0.049,13,0.9942,3.72,0.58,11.4,5
Chronic Cellars Sofa King Bueno,8.6,0.11,2.3,0.084,31,0.9979,3.4,0.48,9.9,5
,8.6,0.27,2.3,0.055,28,0.99516,3.18,0.8,11.2,5
Radius Merlot,10,0.2,11,0.071,50,1.0015,3.16,0.69,9.2,6
Chronic Cellars Sofa King Bueno,7.6,0,1.9,0.1,12,0.99521,,0.59,11,5
Radius Merlot,8,0.24,,0.083,62,0.99685,3.35,0.56,,6
Oak Ridge Zinfandel Lodi AV,7.4,0.29,2.2,0.054,49,0.99666,3.4,0.76,10.9,7
,10.5,0.47,1.9,0.078,24,0.9976,3.18,1.04,10.9,7
Oak Ridge Zinfandel Lodi AV,15,0.44,2.2,0.075,24,1.00005,3.07,0.84,9.2,7
Oak Ridge Zinfandel Lodi AV,8.9,0.32,5.6,0.087,47,0.9991,3.38,0.77,10.5,7
Radius Merlot,9.7,0.6,2,0.039,19,0.99585,3.3,0.86,12.4,6
Radius Merlot,8.8,0.04,2.2,0.119,56,0.9962,3.21,0.6,10.9,6
,10.3,0.52,2.8,0.159,75,0.9998,3.18,0.64,9.4,5
Oak Ridge Zinfandel Lodi AV,7.1,0,2.4,0.052,11,0.99318,3.35,0.66,12.7,7
Chronic Cellars Sofa King Bueno,8.1,0.22,2.2,0.072,41,0.9967,3.36,0.55,9.1,5
Radius Merlot,7.1,0.01,2.3,0.08,43,,3.42,0.58,10.7,6
Radius Merlot,,0.04,3,0.077,27,0.9987,3.69,0.91,9.4,6
Radius Merlot,10.7,0.22,2.7,0.107,34,1.0004,3.28,0.98,9.9,6
Oak Ridge Zinfandel Lodi AV,9.9,0.57,2.4,0.093,52,0.9971,3.19,0.76,11.6,7
Chronic Cellars Sofa King Bueno,6,0.04,2.2,0.092,26,0.99647,3.46,0.47,10,5
Chronic Cellars Sofa King Bueno,12.1,0.52,2,0.092,54,1,3.03,0.66,10.2,5
Radius Merlot,8.2,0.09,2.3,0.065,37,0.99685,3.32,0.55,9,6
Oak Ridge Zinfandel Lodi AV,6.6,0.14,2.4,0.064,29,0.99397,3.42,0.62,11.7,7
Chronic Cellars Sofa King Bueno,7.2,0.05,4.65,0.086,11,0.9962,3.41,0.39,10.9,5
Chronic Cellars Sofa King Bueno,6.6,0.01,1.9,0.08,25,0.99746,3.69,0.73,10.5,5
Radius Merlot,9.1,0.3,1.9,0.065,17,0.99774,3.32,0.71,10.5,6
Chronic Cellars Sofa King Bueno,7.4,0.47,2,0.086,73,0.997,3.36,0.57,9.1,5
Chronic Cellars Sofa King Bueno,6.9,0.25,2.6,0.081,37,0.99685,3.46,0.5,11,5
Oak Ridge Zinfandel Lodi AV,11.1,0.53,2.2,0.06,10,0.99572,3.02,0.83,10.9,7
Radius Merlot,6,0,2.1,0.064,54,0.995,3.54,0.93,10.7,6
Radius Merlot,11.5,0.51,2.2,0.079,28,0.9982,3.03,0.93,9.8,6
Radius Merlot,9.2,0.34,1.6,0.062,12,0.99667,3.2,0.67,10.5,6
Chronic Cellars Sofa King Bueno,13.3,0.58,1.9,0.07,40,1.0004,3.06,0.49,9,5
,11.5,0.59,2.6,0.087,49,0.9988,3.18,0.65,11,6
Radius Merlot,10.2,0.37,15.4,0.214,95,1.00369,3.18,0.77,9,6
Chronic Cellars Sofa King Bueno,9.7,0.32,2.5,0.088,91,0.9979,3.29,0.62,10.1,5
Radius Merlot,9.3,0.36,1.7,0.081,14,0.99702,3.27,0.78,10.9,6
Radius Merlot,11.5,0.51,4,0.104,23,0.9996,3.28,0.97,10.1,6
Radius Merlot,7.7,0.37,1.8,0.046,60,0.9971,3.41,0.71,12.1,6
Radius Merlot,7.6,0.31,2.8,0.07,15,0.99693,3.22,0.55,10.3,6
Oak Ridge Zinfandel Lodi AV,9,0.41,2.4,0.103,10,0.99604,3.13,0.58,11.9,7
Oak Ridge Zinfandel Lodi AV,11.6,0.55,2.8,0.081,67,1.0002,3.32,0.92,10.8,7
Radius Merlot,7,0.49,2.5,0.097,85,0.9962,3.39,0.77,11.4,6
Radius Merlot,12.3,0.49,3.1,0.079,46,0.9993,3.2,0.8,10.2,6
Chronic Cellars Sofa King Bueno,7.4,0.01,2,0.074,38,0.99748,3.48,0.65,9.8,5
Chronic Cellars Sofa King Bueno,6.8,0,5.6,0.124,58,0.9997,3.46,0.72,10.2,5
Radius Merlot,10.6,0.43,2.9,0.076,88,0.9984,3.08,0.57,10.1,6
Layer Cake Cabernet,4.6,0.15,2.1,0.054,65,0.9934,3.9,0.56,13.1,4
Chronic Cellars Sofa King Bueno,7.2,0.24,2,0.071,52,0.99576,3.44,0.58,10.1,5
Chronic Cellars Sofa King Bueno,6.5,0.14,2.4,0.114,37,0.99732,3.66,0.65,9.8,5
Chronic Cellars Sofa King Bueno,6.6,0.15,2.1,0.076,53,0.9957,3.32,0.62,9.3,5
Radius Merlot,5.9,0.1,,0.062,51,0.99512,3.52,0.76,11.2,6
Chronic Cellars Sofa King Bueno,8.9,0.18,3.8,0.176,145,0.9986,3.16,0.88,9.2,5
Chronic Cellars Sofa King Bueno,6.4,0.02,1.8,0.067,,0.997,3.46,0.68,9.5,5
Chronic Cellars Sofa King Bueno,6.7,0.09,2.9,0.079,22,0.99669,3.46,,10.2,5
Chronic Cellars Sofa King Bueno,5.6,0.37,1.4,0.074,96,0.9954,3.32,0.58,9.2,5
Chronic Cellars Sofa King Bueno,8.2,0.21,1.7,0.074,13,0.9968,3.2,0.52,9.5,5
Chronic Cellars Sofa King Bueno,7.8,0.01,1.6,0.077,19,0.995,3.16,0.46,,5
Chronic Cellars Sofa King Bueno,7.7,0.1,2.1,0.112,22,0.9963,3.26,0.5,9.5,5
Chronic Cellars Sofa King Bueno,7.7,0.21,2.2,0.077,133,0.9956,3.27,0.45,9.9,5
Radius Merlot,7,0.02,2.1,0.066,25,0.9972,3.47,0.67,9.5,6
Chronic Cellars Sofa King Bueno,7.2,0.07,2.6,0.077,86,0.99748,3.51,0.54,9.7,5
Chronic Cellars Sofa King Bueno,6.8,0.11,1.5,0.075,49,0.99545,3.36,0.79,9.5,5
Radius Merlot,6.5,0,1.6,0.052,17,0.99467,3.5,0.63,10.9,6
Chronic Cellars Sofa King Bueno,9,0.24,1.7,0.078,21,0.99692,3.29,0.67,10,5
,11.9,0.66,2.5,0.072,37,0.9992,3.05,0.56,10,5
Chronic Cellars Sofa King Bueno,8.8,0.21,2.5,0.092,88,0.99823,3.19,0.52,9.2,5
Oak Ridge Zinfandel Lodi AV,10,0.45,6.2,0.071,14,0.99702,3.21,0.49,11.8,7
Chronic Cellars Sofa King Bueno,7.7,0.43,2.2,0.114,114,0.997,3.25,0.73,9.2,5
Layer Cake Cabernet,8.2,0.27,2.1,0.088,23,0.9962,3.26,0.47,10,4
Pisano Tannat Rio de Los Pajaros,12.6,0.72,2.2,0.072,29,0.9987,2.88,0.82,9.8,8
Chronic Cellars Sofa King Bueno,7.5,0.12,5.1,0.111,110,0.9983,3.26,0.77,9.4,5
Chronic Cellars Sofa King Bueno,7.6,0.11,2.6,0.079,49,0.9968,3.21,0.57,10,5
Chronic Cellars Sofa King Bueno,6.9,0.2,1.75,0.058,22,0.99322,3.38,0.49,11.7,5
Chronic Cellars Sofa King Bueno,8,0.44,1.8,0.081,68,0.99501,3.36,0.66,11.2,5
Chronic Cellars Sofa King Bueno,8,0.36,2.3,0.075,48,0.9976,3.34,0.46,9.4,5
Chronic Cellars Sofa King Bueno,7.8,0.29,4.3,0.083,64,0.99642,3.16,0.53,9.4,5
Radius Merlot,6.7,0.24,1.7,0.077,34,0.9948,3.39,0.6,10.6,6
Chronic Cellars Sofa King Bueno,6.6,0.01,1.9,0.08,25,0.99746,3.69,0.73,10.5,5
Radius Merlot,10.8,0.41,2.2,0.084,17,0.9984,3.08,0.67,9.3,6
Chronic Cellars Sofa King Bueno,10.8,0.45,3.3,0.06,49,0.9972,3.13,0.54,9.6,5
,8.4,0.11,1.9,0.09,63,0.9965,3.19,0.82,9.6,5
Chronic Cellars Sofa King Bueno,9,0.17,3,0.077,13,0.9976,3.29,0.55,10.4,5
Chronic Cellars Sofa King Bueno,7.8,0.68,1.7,0.467,69,0.9973,3.08,1.31,9.3,5
Macchia Barbera Delicious Lodi,7.3,0.05,2.1,0.061,,0.99705,3.31,0.55,9.7,3
Chronic Cellars Sofa King Bueno,7.5,0.18,1.6,0.079,58,0.9965,3.34,0.58,9.4,5
Oak Ridge Zinfandel Lodi AV,9.9,0.38,1.5,0.058,47,0.99676,3.26,0.82,10.6,7
Radius Merlot,6.5,0.06,2,0.063,44,0.99489,3.38,0.83,10.3,6
Chronic Cellars Sofa King Bueno,11.5,0.48,2.6,0.077,20,0.99852,3.09,0.53,11,5
Chronic Cellars Sofa King Bueno,7.5,0.32,2.7,,98,0.99938,3.45,0.62,9.5,5
Radius Merlot,6.2,0.22,1.8,0.078,56,0.99633,3.52,0.6,9.5,6
Chronic Cellars Sofa King Bueno,11.5,0.52,3,0.08,55,1.0001,3.26,0.88,11,5
Radius Merlot,9.6,0.12,2.9,0.082,74,0.99865,3.3,0.64,10.4,6
Chronic Cellars Sofa King Bueno,9.4,0.37,2.2,0.075,13,0.998,3.22,0.62,9.2,5
Oak Ridge Zinfandel Lodi AV,7.7,0.68,3.5,0.358,10,0.9972,3.25,1.08,9.9,7
Chronic Cellars Sofa King Bueno,9.4,0.28,3.2,0.087,72,1.0001,3.31,0.53,9.7,5
Chronic Cellars Sofa King Bueno,9.2,0.21,2.7,0.097,65,0.9988,3.28,0.58,9.6,5
Chronic Cellars Sofa King Bueno,9.2,0.23,2.6,0.091,77,0.99922,3.15,0.51,9.4,5
Chronic Cellars Sofa King Bueno,7.9,0.33,2,0.084,143,0.9968,3.2,0.55,9.5,5
Radius Merlot,7.1,0.08,2.1,0.063,52,0.99608,3.42,0.6,10.2,6
