State,Year,Month,Assembly_no,Constituency_no,Position,Name_of_Candidate,Sex,Party,Votes,Age,Candidate_type,Total_valid_votes,Total Electors,Constituency_name,Constituency_type,total no of candidates,Turnout perecntage,Vote_share_percentage
Karnataka,1999,10,6,1,1,GUNDAPPA VAKIL,M,BJP,31967,NA,NA,97031,161232,AURAD,GEN,10,60.18,32.95
Karnataka,1999,10,6,1,10,RAMRAO VITHALRAO PAITL,M,IND,99,NA,NA,97031,161232,AURAD,GEN,10,60.18,0.1
Karnataka,1999,10,6,1,2,GURUPADAPPA NAGMARPALLI,M,INC,29182,NA,NA,97031,161232,AURAD,GEN,10,60.18,30.07
Karnataka,1999,10,6,1,3,CHANDERSHEKAR PATIL,M,IND,15230,NA,NA,97031,161232,AURAD,GEN,10,60.18,15.7
Karnataka,1999,10,6,1,4,ARUN BAPUSAHEB PATIL,M,NCP,13389,NA,NA,97031,161232,AURAD,GEN,10,60.18,13.8
Karnataka,1999,10,6,1,5,RAGHUNATH RAO JADHAV,M,JD(S),4388,NA,NA,97031,161232,AURAD,GEN,10,60.18,4.52
Karnataka,1999,10,6,1,6,DR BAJIRAO YADAVRAO PATIL,M,BSP,1789,NA,NA,97031,161232,AURAD,GEN,10,60.18,1.84
Karnataka,1999,10,6,1,7,SHRAVANKUMAR BHANDE,M,IND,555,NA,NA,97031,161232,AURAD,GEN,10,60.18,0.57
Karnataka,1999,10,6,1,8,MAQDOOM,M,IND,321,NA,NA,97031,161232,AURAD,GEN,10,60.18,0.33
Karnataka,1999,10,6,1,9,DR. SHANKAR RAO SONALWADI,M,IND,111,NA,NA,97031,161232,AURAD,GEN,10,60.18,0.11
Karnataka,1999,10,6,2,1,PRAKASH KHANDRE,M,BJP,47132,NA,NA,85828,132171,BHALKI,GEN,5,64.94,54.91
Karnataka,1999,10,6,2,2,DR. VIJAYAKUMAR BHIMANNA KHANDRE,M,INC,36805,NA,NA,85828,132171,BHALKI,GEN,5,64.94,42.88
Karnataka,1999,10,6,2,3,SHIVAJRAJ PATIL MALCHAPUR,M,JD(S),1054,NA,NA,85828,132171,BHALKI,GEN,5,64.94,1.23
Karnataka,1999,10,6,2,4,BHIMANNA KOLLE,M,BSP,660,NA,NA,85828,132171,BHALKI,GEN,5,64.94,0.77
Karnataka,1999,10,6,2,5,SIDRAMAYYA S SWAMI,M,ABHS,177,NA,NA,85828,132171,BHALKI,GEN,5,64.94,0.21
