,user_name,list_count,verified_account,url_count,hashtag_diversity,user_tag_diversity,likes_no,retweet_no,friends_following_ratio,tweet_frequency,lexical_diversity,age_of_account
0,FakeHQ,1,False,0,0,0.0,2,0,0.5,5.52,0.348494554773,283
1,littlebubbot,0,False,16,0,0.857142857143,142,27,0.973684210526,17.23,0.218713450292,35
2,SpritesByBitsy,4,False,0,0,0.0,204,30,0.981481481481,25.82,0.171421358243,17
3,SynonymSpectra,2,False,16,0,0.0,49,13,0.872340425532,0.06,0.628801431127,1686
4,window_scene,1,False,0,0,0.0,22,4,1.0,3.83,1.0,24
5,yourwindowbot,1,False,0,0,0.0,17,2,0.857142857143,7.68,0.100636205899,357
6,happyautomata,2,False,0,0,0.0,148,47,1.0,1.85,0.942307692308,33
7,Ro_Sham_Bot,1,False,2,0,0.5,2,0,0.916666666667,1.30,0.483870967742,37
8,PrimitivePic,107,False,1422,0,1.0,1563,470,1.0,45.30,0.506148981026,667
9,grow_slow,47,False,0,0,1.0,369,821,1.0,0.92,1.0,828
10,LatostadoraBot,3,False,0,0,0.0,20,14,0.515151515152,16.18,0.334319526627,955
11,cloudplug,42,False,1210,0,0.0,6,0,0.986486486486,11.94,0.389528635038,1680
12,icanhazmemento,0,False,8,0,0.75,0,0,0.976744186047,0.17,0.545454545455,1099
13,goth_lyrics,2,False,231,0,0.0,31,6,0.461538461538,8.92,0.168444013572,133
14,faketmglyrics,1,False,0,0,0.0,0,0,0.962962962963,72.45,1.0,128
15,BotConnectFour,0,False,0,0,0.1,0,6,0.833333333333,5.80,0.178403755869,66
16,astrology_bot,0,False,63,0,0.666666666667,23,12,0.857142857143,1.64,0.277205882353,99
17,glitchdemon,14,False,0,0,1.0,74,21,0.618345618346,0.64,0.782608695652,289
18,wavy_bgs,2,False,2,0,0.666666666667,382,112,0.995327102804,6.78,0.985294117647,36
19,DRyderNicknames,0,False,0,0,0.0,137,0,0.352941176471,3.95,0.582089552239,58
20,CWF_Forecast,0,False,0,0,0.777777777778,103,3,0.967032967033,4.86,0.32972972973,58
21,whatorderbooks,2,False,31,0,1.0,1,7,0.0,1.19,0.316037735849,295
22,pumpkinspiceit,2,False,0,0,0.0,18,1,1.0,23.95,0.311888638074,312
23,LionelIpsum,0,False,0,0,0.0,0,0,0.416666666667,21.19,0.0700477027366,42
24,EveryFeature,3,False,54,0,0.0,54,1,0.666666666667,18.72,0.4664580215,331
25,UnicodeShowcase,0,False,0,0,0.0,10,0,0.833333333333,5.24,0.324357912179,51
26,hometapingkills,1,False,0,0,0.0,2,0,1.0,23.78,0.0366361365529,286
27,thosewhodgiveup,3,False,220,0,0.0,13,6,1.0,23.98,0.200315231409,290
28,folderisempty,2,False,0,0,0.0,39,3,1.0,23.88,0.199311235471,312
29,BRTLSTvsTRNGLFY,5,False,0,0,0.0,24,10,0.909090909091,23.93,0.202228412256,321
30,fakefantas,49,False,0,0,0.0,19846,6262,1.0,24.06,0.238215816128,53
31,tv_sounds,9,False,0,0,0.0,1,0,0.966666666667,42.03,0.666666666667,533
32,LibraryH,0,False,0,0,0.0,1,2,1.0,8.06,0.049120477929,52
33,theprintbot,0,False,62,0,0.129032258065,37,23,0.909090909091,1.99,0.145737855179,78
34,okay_campers,1,False,0,0,0.0,0,0,1.0,0.03,0.094623655914,2078
35,__compy,33,False,0,0,0.424202992843,615,304,0.998846597463,16.67,0.215405175556,775
36,TwinPeaksBot,9,False,0,0,0.0,2,1,0.891791044776,2.94,1.0,536
37,ShowdownBot,6,False,26,0,1.0,10,6,0.818181818182,8.81,0.243661655822,68
38,WordsofMcCarthy,36,False,6,0,0.0,669,190,0.99957026214,1.24,0.574750830565,825
39,big_ben_clock,4597,False,0,0,0.0,63569,19566,1.0,23.27,0.000213356091316,3177
40,arguetron,111,False,0,0,0.247191011236,420,100,0.99430740038,180.92,0.0503139491936,665
41,archiveURL,2,False,1,0,1.0,0,0,0.5,0.49,1.0,544
42,anywizard,14,False,0,0,0.0,329,146,0.987755102041,6.05,0.639344262295,465
43,Vox_Plus,5,False,61,0,0.114754098361,7,2,1.0,1.93,0.663003663004,805
44,256farben,18,False,0,0,0.0,0,0,0.971428571429,1.52,1.0,533
45,Vox304,2,False,17,0,0.615384615385,0,0,1.0,1.22,0.789237668161,69
