,user_name,list_count,verified_account,url_count,hashtag_diversity,user_tag_diversity,likes_no,retweet_no,friends_following_ratio,tweet_frequency,lexical_diversity,age_of_account
0,10years,833,True,5,0.909090909091,0.634146341463,344,138,0.901649558915,1.51,0.725085910653,3386
1,19_Joanne_87,23,False,159,0.31746031746,0.225806451613,1235,867750,0.591889559965,32.93,0.397529153677,1736
2,1Dniallprincess,8,False,8,0.0,0.777777777778,3,332284,0.914218566392,8.75,0.686567164179,1756
3,1Nicoleromany,20,False,7,1.0,0.875,2,8564,0.751673360107,5.33,0.803827751196,1789
4,1_DErika,3,False,18,0.270833333333,0.5,49,5285354,0.586,3.18,0.48733957683,1939
5,22callum,7,False,6,0.315789473684,0.921052631579,76,385225,0.518677812077,2.84,0.649560117302,2424
6,2hip4tv,137,True,14,0.615384615385,0.909090909091,147,1215,0.517139914668,3.81,0.709278350515,3442
7,30SECONDSTOMARS,10906,True,98,0.370967741935,0.484126984127,73126,15462,0.999981973997,8.98,0.524375256043,3454
8,50cent,34131,True,18,0.588235294118,0.690476190476,211403,91180,0.999999794177,3.90,0.659340659341,3511
9,51TalkPH,32,False,32,0.29347826087,0.657142857143,135,707,0.945559161995,2.00,0.55424954792,2137
10,87TEEZY,1,False,6,0.608695652174,1.0,7,590,0.261467889908,0.06,0.772241992883,2875
11,9999999KM,50,False,0,0.0,1.0,0,350,0.562740707568,1.13,1.0,2593
12,9GAG,11328,True,244,0.537037037037,1.0,1493213,609077,0.999999322235,11.57,0.647223955084,3589
13,A1_Ade,1,False,42,0.0,0.686046511628,52,685113,0.672082717873,12.47,0.657942238267,2262
14,aadilbut,5,False,138,0.571428571429,0.481765834933,83,246956,0.580835795694,8.96,0.480176737521,2466
15,Aagan86,303,True,524,0.276455026455,0.320197044335,3900,165343,0.952368397926,97.51,0.42378304658,3375
16,aamir_khan,20374,True,1,0.0,0.0,68066,6138,0.999999615291,0.18,0.925,3184
17,aaroncarter,4829,True,96,0.702702702703,0.523076923077,98440,16757,0.920125474709,0.76,0.493701747257,3385
18,aaronpaul_8,7552,True,9,1.0,0.681818181818,66939,19342,0.999799613205,0.88,0.67032967033,2577
19,AaronRodgers12,11044,True,6,0.894736842105,1.0,22888,14901,0.999898698365,0.97,0.834782608696,3035
20,Aashu_Salotra,11,False,2,0.0,0.583333333333,9,65602,0.720170454545,5.27,0.829787234043,2833
21,Abbdulla_,7,False,8,0.833333333333,0.641025641026,5,117392,0.665570175439,9.56,0.703624733475,2552
22,abctyler5,1,False,14,1.0,0.703703703704,66,803178,0.674917491749,0.89,0.670512820513,3051
23,abhie_911,42,False,27,0.493150684932,0.403389830508,9,203567,0.256834532374,4.23,0.540236353405,2692
24,abhishek_shetty,6,False,30,1.0,0.642857142857,25,209089,0.561679790026,1.62,0.642922374429,3308
25,Abikikime,1,False,0,0.0,0.0,2,0,0.462025316456,2.67,1.0,2582
26,AbiNotNormal,21,False,80,0.883720930233,0.498442367601,622,714770,0.329202414998,19.34,0.486898779612,3321
27,ablueslenz,0,False,39,1.0,0.607843137255,38,60504,0.418918918919,0.51,0.645719489982,2071
28,abzbrigrier,6,False,35,1.0,0.461538461538,99,361823,0.509270704574,6.03,0.536945812808,1679
29,achanchani,6,False,86,0.622950819672,0.450084602369,443,496,0.540172166428,3.04,0.502837977296,3379
