,user_name,list_count,verified_account,url_count,hashtag_diversity,user_tag_diversity,likes_no,retweet_no,friends_following_ratio,tweet_frequency,lexical_diversity,age_of_account
0,0209Sooyong,4,False,1,1.0,0.875,17,15588,0.51690821256,3.10,0.784615384615,984
1,07Alghamidi,2,False,0,1.0,0.0,5,3,0.623714131023,2.64,1.0,842
2,07Mely10,2,False,1,1.0,1.0,0,20132,0.28544636159,4.69,1.0,1699
3,0Hhbreezy,4,False,107,1.0,0.7,381,7608510,0.768469656992,22.71,0.409658389354,2788
4,1013ayana,2,False,4,1.0,0.888888888889,49,303,0.608835341365,3.58,0.923076923077,1852
5,10Rozzi_,5,False,10,1.0,0.337278106509,4,41197,0.614317425083,14.30,0.650406504065,2131
6,13_shichan,0,False,0,1.0,0.516129032258,31,412924,0.676796912687,11.13,0.772,1663
7,13mattsmith,2,False,161,1.0,0.616666666667,44,8509434,0.442583732057,14.05,0.505708848716,2519
8,1434Re,0,False,1,1.0,1.0,0,18,0.332252358491,5.72,1.0,2086
9,160heibei,76,False,57,1.0,0.692307692308,624,2980785,0.651716068643,28.59,0.747922437673,2881
10,1DAngels0nEarth,12,False,5,1.0,0.471544715447,5,1567455,0.379860031104,15.65,0.563867325335,2230
11,1JOSE_JOSE_JOSE,4,False,0,1.0,1.0,0,10083,0.641841570752,2.46,0.882352941176,2450
12,1litprincess,7,False,25,1.0,0.442307692308,94,504667,0.653314917127,26.65,0.585454545455,1452
13,1straycathot4u2,12,False,0,1.0,1.0,0,847,0.144605308514,4.17,1.0,1050
14,22DEAGOSTOOO,2,False,19,1.0,0.0,0,0,0.397092578424,8.41,0.209756097561,1901
15,2KWagerKing,3,False,0,1.0,1.0,0,0,0.993142857143,5.33,1.0,1285
16,2freshlouis_,2,False,6,1.0,0.690476190476,30,353036,0.557414887478,7.24,0.747989276139,1313
17,310kazu8,5,False,28,1.0,0.793103448276,11,1731759,0.605745721271,8.71,0.784595300261,1888
18,3andyourout,14,False,525,1.0,0.829643888354,20,41574203,0.808429118774,33.18,0.352734965246,1799
19,3washky,3,False,46,1.0,0.219653179191,133,1470,0.368474233749,10.78,0.668170631665,978
20,4HunnitBandz,0,False,1,1.0,0.0,2,2,0.854166666667,0.13,1.0,758
21,500DaysOfRaquel,6,False,21,1.0,0.896103896104,29,2071850,0.57667258733,27.20,0.606034482759,3007
22,520dee,8,False,206,1.0,0.759009009009,382,6928160,0.681107637338,11.23,0.415075800112,2331
23,5atzj5v2n9fBcHW,3,False,0,1.0,0.0,6,2,0.873563218391,7.09,1.0,1099
24,6sungjai,4,False,0,1.0,0.0,0,95,0.792828685259,23.45,1.0,2150
25,7140lemon,12,False,11,1.0,0.180124223602,1674,77514,0.592551043303,24.31,0.717542120912,1518
26,840hasshin,31,False,137,1.0,0.298200514139,807,313971,0.621512333199,11.70,0.679963459196,3040
27,997JK,2,False,0,1.0,1.0,0,0,1.0,5.18,1.0,799
28,A1babez,23,False,566,1.0,0.762790697674,7335,8970593,0.714005396125,25.24,0.386093199495,1711
29,AFixe10,1,False,139,1.0,0.315602836879,213,550302,0.8067361668,51.90,0.405357927097,1611
30,AKIO3JSB,0,False,13,1.0,0.740740740741,1091,279188,0.385466277462,13.82,0.921646746348,1011
31,AM_Pedalada,10,False,135,1.0,0.328078817734,328,2091434,0.738019169329,102.72,0.385470227235,1262
32,ANIUSHKA,54,False,189,1.0,0.312179487179,304,188313,0.41164921466,56.54,0.35202775254,3398
33,ARRR0805,0,False,1,1.0,0.8,48,61734,0.564042850489,3.15,0.864864864865,2626
34,ASVPxMann,11,False,268,1.0,0.763285024155,97,16288885,0.50491445213,15.71,0.447498573331,2989
35,AWillThaGreat,5,False,40,1.0,0.507042253521,71,225241,0.598516949153,19.97,0.661846496107,1808
36,A_uggz,2,False,0,1.0,1.0,1,0,0.420590582602,12.50,1.0,2444
37,AbbyHooven,1,False,9,1.0,0.944444444444,51,1512248,0.68525592055,7.03,0.646433990895,2172
38,Abbypatato,3,False,1,1.0,0.833333333333,0,226337,0.51946338245,2.78,0.806451612903,897
39,AbreuPiero,10,False,0,1.0,0.0,2,2,0.553590010406,6.20,1.0,1991
40,AbriiBeltraan,2,False,35,1.0,0.629032258065,12,2253390,0.505012098168,20.99,0.434146341463,1698
41,AbriilSofia1,3,False,106,1.0,0.631578947368,182,825058,0.634457236842,38.01,0.434577522559,1321
42,AbruSpinellii,2,False,1,1.0,1.0,0,225862,0.662673392182,14.09,0.712962962963,2091
43,AccordingtoBria,9,False,214,1.0,0.847945205479,26,20754351,0.601945683016,21.15,0.382433252427,3066
44,AeignZackreyGFs,1,False,0,1.0,1.0,0,5,0.900210822207,8.84,0.888888888889,1280
45,AgossLeal,2,False,4,1.0,0.509433962264,61,158068,0.560527555346,15.50,0.565265486726,2250
46,AgusBeux,2,False,12,1.0,0.5,65,145263,0.647887323944,42.70,0.41437477081,1674
47,Agus_AguirreOk,5,False,30,1.0,0.578680203046,25,1577178,0.326579981857,10.26,0.401684001981,2115
48,Agus_sosa15,0,False,29,1.0,0.591715976331,59,598114,0.57003257329,5.60,0.48772845953,2071
49,AgussFavot,6,False,64,1.0,0.54025974026,210,1441686,0.626858021527,8.21,0.466691477484,2299
50,AidahIdris_,6,False,8,1.0,0.925925925926,8,216461,0.676701570681,11.88,0.790588235294,2371
51,AilenPaine,1,False,0,1.0,0.0,0,0,0.498364231189,3.97,1.0,1175
52,AilenPohOk,1,False,69,1.0,0.536796536797,115,3569807,0.482852807284,11.71,0.353925716972,1794
53,Ailen_gutierrez,4,False,0,1.0,0.0,1,0,0.451581975072,17.18,1.0,2033
54,AiluRodriguez74,4,False,17,1.0,0.511930585683,30,2341967,0.571946169772,31.60,0.365319426336,2606
55,AimeeStern,30,False,135,1.0,0.274336283186,4548,47389,0.750984682713,23.37,0.374038575317,3456
56,AisyaZainal,16,False,70,1.0,0.575163398693,294,1621720,0.618208516887,15.41,0.577339520495,3199
57,AitalYakovlev,9,False,117,1.0,0.504830917874,1173,496150,0.683994528044,24.21,0.629945429741,2608
58,Aleahcharde_,1,False,0,1.0,1.0,4,58852,0.599617468919,16.32,0.962264150943,1143
59,AlegriaCrespo,90,False,152,1.0,0.46875,18738,74838,0.951227287217,11.00,0.429795335554,2606
60,AlejandraConde_,6,False,0,1.0,0.0,3,2,0.316034082107,4.27,1.0,1385
61,AlejoNievas1,0,False,11,1.0,0.611764705882,185,129285,0.65931372549,8.93,0.564563106796,1826
62,AlexNunez__,7,False,202,1.0,0.650953984287,161,10020980,0.551131221719,22.09,0.426023180007,2742
63,AlexaaTapia,6,False,0,1.0,0.0,1,1,0.592082616179,24.00,1.0,2102
64,alexaaaaad,0,False,0,1.0,0.0,0,0,0.428571428571,0.14,1.0,216
65,AliSaffari26,2,False,4,1.0,0.833333333333,1,134224,0.757723577236,9.30,0.807486631016,3074
66,aliffafeb11,7,False,7,1.0,1.0,0,8654,0.740959894806,29.12,0.311827956989,1951
67,Alingri,2,False,0,1.0,1.0,0,2358,0.270186335404,17.69,1.0,2385
68,Alison_Bastian,0,False,6,1.0,0.828571428571,13,977234,0.65970313359,4.39,0.70987654321,2327
69,AllAboutTeraa,2,False,1,1.0,0.545454545455,0,187144,0.551742069683,8.03,0.833333333333,1659
70,Allison_McEnroe,0,False,11,1.0,0.965517241379,0,1295015,0.693206720234,6.21,0.7225,1546
71,AlmeidaDice,12,False,89,1.0,0.663265306122,92,113407,0.552748885587,3.02,0.560220994475,3100
72,Almighty_Dai,2,False,0,1.0,1.0,0,300,0.598991750687,8.30,0.888888888889,2140
73,Alontiax0_,2,False,378,1.0,0.716857610475,154,8866560,0.547822182308,23.10,0.372680615871,2017
74,AlwaysaGoodday1,268,False,59,1.0,0.31197301855,960,126725,0.531695721078,15.80,0.462123957956,2291
75,Alyssa615_,6,False,45,1.0,0.451612903226,64,427103,0.512357414449,11.23,0.459343794579,2622
76,AmandaHilby,1,False,3,1.0,0.952380952381,99,234910,0.730218538056,1.50,0.651685393258,2420
77,Amanda_Wicks_,12,False,30,1.0,0.423188405797,64,37489,0.226054922974,5.51,0.441932486838,3113
78,Ambitions1992,6,False,62,1.0,0.588235294118,39,156184,0.548284960422,18.24,0.308848597552,3368
79,AmelyGalicia,2,False,1,1.0,1.0,0,21281,0.358860195904,6.75,0.852713178295,1303
80,AminaPrez,4,False,17,1.0,0.806603773585,338,462808,0.491185897436,35.63,0.394595910419,2099
81,Amina_janahi,6,False,16,1.0,0.690476190476,8,45811,0.858458961474,13.28,0.683215130024,2530
82,AmrikaAlsubaie,3,False,183,1.0,0.339366515837,375,770197,0.862292426083,19.39,0.509870086047,1108
83,AnaFlaviaMart20,2,False,21,1.0,0.799043062201,9,2871749,0.952095808383,37.60,0.517326732673,1601
84,AnaSanzera,10,False,57,1.0,0.170731707317,151,90580,0.642037631941,37.84,0.448797622264,2043
85,AnbenitezT,6,False,0,1.0,1.0,0,3,0.850475367329,4.59,1.0,2442
86,AndreaMGuevara,84,False,27,1.0,0.833333333333,20,37405,0.442750677507,1.05,0.713193116635,3395
87,Andreag11_,3,False,19,1.0,0.472727272727,154,11829,0.82002617801,6.68,0.584192439863,2434
88,AngelCantu20,5,False,17,1.0,0.566929133858,129,654836,0.593663911846,12.31,0.613483146067,2171
89,AngelHermosill,4,False,0,1.0,1.0,0,288,0.318636532049,16.78,1.0,2020
90,Angelin_Leticia,7,False,82,1.0,0.612462006079,107,7682881,0.552572706935,17.14,0.477998274374,1817
91,Aninh402,0,False,8,1.0,0.57,96,111646,0.545283018868,15.59,0.50784167289,1438
92,AnitaCaspar1,2,False,5,1.0,0.590909090909,91,144983,0.739230327398,4.43,0.664739884393,1970
93,AnnaLakeee,3,False,2,1.0,1.0,0,328578,0.554248366013,4.27,0.755555555556,2709
94,AnnaSilva____,1,False,55,1.0,0.545787545788,100,2113892,0.805148256761,66.97,0.393872481369,1017
95,Anna_NoMae,3,False,25,1.0,0.741176470588,21,476731,0.687532333161,17.24,0.512283236994,1719
96,AnneGlenn74,68,False,341,1.0,0.435114503817,572,1972353,0.534797017399,50.99,0.402662132051,2490
97,Annie_1251,49,False,184,1.0,0.114325068871,2512,24679,0.677102803738,43.90,0.391335126717,2205
98,AntoGilla23,2,False,9,1.0,0.891304347826,18,166296,0.53093220339,20.79,0.529812606474,1477
99,AntonellaNocco,1,False,104,1.0,0.737209302326,51,4088883,0.3775085195,9.00,0.419290817677,2012
100,ApegoDoCris,0,False,0,1.0,0.0,2,2,0.642857142857,6.44,1.0,1477
101,Arekehs,3,False,111,1.0,0.742705570292,201,3290142,0.726205997392,33.13,0.357491749175,2723
102,ArianaDesiree_,9,False,681,1.0,0.771091445428,333,41892431,0.582686335404,16.91,0.364179473446,2980
103,ArianaPombal,5,False,39,1.0,0.877777777778,412,4078311,0.767195767196,28.18,0.52951820855,2542
104,Arielle_H10,13,False,1,1.0,1.0,0,11128,0.619463505926,21.00,0.857142857143,1723
105,Arkson10,12,False,34,1.0,0.527815468114,1934,427579,0.502925198496,7.59,0.409988968007,2420
106,Artemisa0209,12,False,421,1.0,0.301763803681,1683,126492,0.740177089098,31.35,0.367553211111,2352
107,ArtybeingArty,40,False,599,1.0,0.531759415402,696,13329239,0.536225196124,61.04,0.374187805964,2674
108,Aryane_melissa,3,False,19,1.0,0.666666666667,1,105426,0.812921890068,4.15,0.513464991023,3067
109,AsWeAreInfinite,7,False,33,1.0,0.890510948905,14644,5894675,0.602897315722,17.64,0.593921275536,2545
